카테고리,메뉴명,영문명,설명,태그,베이스,토핑,추천/기본 드레싱,곡물 구성,채소 구성,제공량(g),열량(kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),나트륨(mg),알레르기 목록,알레르기_달걀,알레르기_우유,알레르기_메밀,알레르기_땅콩,알레르기_대두,알레르기_밀,알레르기_잣,알레르기_호두,알레르기_게,알레르기_새우,알레르기_오징어,알레르기_고등어,"알레르기_조개류 (굴, 전복, 홍합포함)",알레르기_복숭아,알레르기_토마토,알레르기_닭고기,알레르기_돼지 고기,알레르기_소고기,알레르기_아황산류 (10mg/kg 이상함유),상세페이지 출처,영양정보 병합출처,알레르기 병합출처,비고
그레인볼,바베큐닭다리살 포케볼,Barbeque Chicken Thigh Poke,"촉촉하고 쫄깃한 닭다리살에 고소한 계란과 매콤달콤한 바베큐소스를 곁들인 중독성 강한 조합! 통곡물, 적채, 후리가케 등 포케 토핑으로 풍성한 맛을 더한 치밥 스타일의 메뉴",,"곡물, 채소","로스트닭다리살, 에그, 옥수수, 양파, 양파플레이크, 후리가케, 적채, 바베큐소스",크리미칠리,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",347,557.3,72.5,8.2,26.6,17.7,5.9,586.2,"달걀, 우유, 대두, 밀, 닭고기, 소고기",●,●,,,●,●,,,,,,,,,,●,,●,,https://salady.com/menu/list_1,SALADY / 바베큐닭다리살포케볼 / nutrition_260715,SALADY / 바베큐닭다리살포케볼 / allergy_260715,
그레인볼,고추장제육 포케볼,Gochujang Bulgogi Poke,"제육은 못 참지! 매콤한 고추장제육에 머쉬룸, 양파플레이크, 적채, 후리가케 등의 토핑이 어우러져 든든한 제육 비빔밥st의 포케",NEW,"곡물, 채소","고추장제육, 머쉬룸, 적채, 양파, 옥수수, 양파플레이크, 후리가케",고추장비빔,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",,468.8,70.4,9.3,20.2,12.6,3.6,474.1,,,,,,,,,,,,,,,,,,,,,https://salady.com/menu/list_1,,,2026.07 알레르기 자료에 동일 메뉴 없음 | 2026.07 영양정보 자료에 동일 메뉴 없음
누들볼,그라브락스 연어 파스타 누들볼,Gravlax Salmon Pasta,북유럽 전통 방식으로 숙성시켜 풍미와 쫄깃함이 가득한 그라브락스 연어에 향긋한 바질파스타를 곁들인 지중해풍 파스타 샐러드,LOW SUGAR,"파스타면, 채소","그라브락스 연어, 옥수수, 올리브, 양파, 바질페스토",(저당) 발사믹,,"로메인, 프릴아이스, 적채",279,346.2,33.3,3.6,20.0,14.4,2.1,609.9,"우유, 대두, 밀",,●,,,●,●,,,,,,,,,,,,,,https://salady.com/menu/list_1,SALADY / 그라브락스연어파스타누들볼 / nutrition_260715,SALADY / 그라브락스연어파스타누들볼 / allergy_260715,
누들볼,우삼겹메밀면 누들볼,Beef Loin Buckwheat Noodles,감칠맛 있는 간장소스로 양념한 우삼겹과 고소한 메밀면 조합으로 한 층 더 풍부한 맛을 즐길 수 있는 샐러디 인기 메뉴,BEST,"메밀면, 채소","우삼겹, 적채, 양파, 견과류",오리엔탈,,"로메인, 프릴아이스, 적채",259,406.6,36.1,5.0,18.0,21.2,6.1,350.3,"달걀, 메밀, 대두, 밀, 호두, 조개류 (굴, 전복, 홍합포함), 소고기",●,,●,,●,●,,●,,,,,●,,,,,●,,https://salady.com/menu/list_1,SALADY / 우삼겹메밀면누들볼 / nutrition_260715,SALADY / 우삼겹메밀면누들볼 / allergy_260715,
누들볼,고추장제육 들기름파스타 누들볼,Gochujang Bulgogi Perilla Oil Pasta,제육은 못 참지! 매콤한 고추장제육에 풍미와 감칠맛을 더할 저당 들기름소이 드레싱이 어우러져 중독성 강한 K-제육 샐러드 파스타,NEW,"파스타면, 채소","고추장제육, 바베큐소스, 머쉬룸, 적채, 양파, 후리가케, (저당) 들기름소이",오리엔탈,,"로메인, 프릴아이스, 적채",,350.7,48.2,7.5,17.5,10.5,1.8,627.8,,,,,,,,,,,,,,,,,,,,,https://salady.com/menu/list_1,,,2026.07 알레르기 자료에 동일 메뉴 없음 | 2026.07 영양정보 자료에 동일 메뉴 없음
누들볼,고추장제육 간장메밀 누들볼,Gochujang Bulgogi Soy Buckwheat Noodles,"제육은 못 참지! 매콤한 고추장제육과 알싸한 청양간장 소스의 감칠맛에 당근라페, 머쉬룸, 적채가 어우러진 샐러디의 캐쥬얼 한식풍 누들 샐러드 (*드레싱 미제공, 포함 드레싱: 청양간장)",NEW,"파스타면, 채소","고추장제육, 바베큐소스, 머쉬룸, 적채, 양파, 당근라페, 참기름, 청양간장 드레싱",청양간장 소스포함(*별도 드레싱 미제공),,"로메인, 프릴아이스, 적채",,412.1,49.2,12.4,20.2,15.7,2.8,1612.0,,,,,,,,,,,,,,,,,,,,,https://salady.com/menu/list_1,,,"공식 상세 텍스트 기준 베이스가 '파스타면, 채소'로 표기됨. 메뉴명(간장메밀)과 불일치하나 원문 그대로 보존. | 2026.07 알레르기 자료에 동일 메뉴 없음 | 2026.07 영양정보 자료에 동일 메뉴 없음"
누들볼,소고기 비빔메밀 누들볼,Beef Bibim Buckwheat Noodles,그라운드비프와 매콤달콤한 고추장비빔 드레싱에 참기름이 어우러진 비빔국수st의 비빔메밀 누들 샐러드,,"메밀면, 채소","그라운드비프, 에그, 적채, 양파, 후리가케, 당근라페, 참기름",고추장비빔,,"로메인, 프릴아이스, 적채",,398.8,32.0,4.0,23.8,19.0,5.6,354.7,,,,,,,,,,,,,,,,,,,,,https://salady.com/menu/list_1,,,2026.07 알레르기 자료에 동일 메뉴 없음 | 2026.07 영양정보 자료에 동일 메뉴 없음
프로틴 박스,닭다리살 MAX 프로틴 박스,Chicken Thigh MAX Protein Box,3배 더 풍성하게 올린 촉촉하고 쫄깃한 닭다리살에 1.5배 든든한 곡물밥과 산뜻한 저당 랜치 드레싱을 페어링하여 제대로 설계한 샐러디의 MAX 프로틴 도시락,LOW SUGAR,"곡물(1.5배), 채소","로스트닭다리살x3, 당근라페, 양파, 옥수수",(저당) 랜치,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",449,758.7,96.6,7.7,43.2,22.3,7.4,885.9,"우유, 대두, 밀, 닭고기, 소고기",,●,,,●,●,,,,,,,,,,●,,●,,https://salady.com/menu/list_1,SALADY / 닭다리살MAX 프로틴박스 / nutrition_260715,SALADY / 닭다리살MAX 프로틴박스 / allergy_260715,
프로틴 박스,치킨 MAX 프로틴 파스타,Chicken Breast MAX Protein Pasta,3배 가득 풍성하게 올린 부드러운 시즈닝 닭가슴살에 2배 든든한 바질파스타와 상큼한 저당 레몬 드레싱을 페어링하여 제대로 설계한 샐러디의 MAX 프로틴 도시락,LOW SUGAR,"바질 파스타면(2배), 채소","시즈닝 닭가슴살x3, 칩베이컨, 당근라페, 양파, 옥수수",(저당) 레몬허브,,"로메인, 프릴아이스, 적채",464,707.9,66.2,6.1,55.1,23.7,6.0,697.0,"우유, 대두, 밀, 닭고기, 돼지 고기",,●,,,●,●,,,,,,,,,,●,●,,,https://salady.com/menu/list_1,SALADY / 치킨MAX 프로틴파스타 / nutrition_260715,SALADY / 치킨MAX 프로틴파스타 / allergy_260715,
프로틴 박스,우삼겹 MAX 프로틴 박스,Beef Loin MAX Protein Box,3배 가득 풍성하게 올린 단짠 우삼겹에 1.5배 든든한 곡물밥과 고소한 저당 참깨소이 드레싱을 페어링하여 제대로 설계한 샐러디의 MAX 프로틴 도시락,LOW SUGAR,"곡물(1.5배), 채소","우삼겹x3, 당근라페, 양파, 옥수수",(저당) 참깨소이,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",419,900.7,87.6,11.5,39.4,43.7,16.3,565.4,"대두, 밀, 조개류 (굴, 전복, 홍합포함), 소고기",,,,,●,●,,,,,,,●,,,,,●,,https://salady.com/menu/list_1,SALADY / 우삼겹MAX 프로틴박스 / nutrition_260715,SALADY / 우삼겹MAX 프로틴박스 / allergy_260715,
