카테고리,메뉴,설명,가격,이미지 링크
올데이 세트,스파이시 쉬림프 샌드위치 세트,"스파이시 쉬림프 샌드위치 + 카사바칩 + 코크제로
쫄깃한 통밀 치아바타 속 탱글탱글한 케이준 쉬림프와 알싸한 할라피뇨에 매콤달콤한 크리미칠리 드레싱이 어우러진 스파이시 쉬림프 치아바타 샌드위치 (포함 드레싱: 크리미칠리)",12000,https://naverbooking-phinf.pstatic.net/20260204_140/1770190274696hm86v_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%BB%F7%B5%E5%C0%A7%C4%A1_%BD%BA%C6%C4%C0%CC%BD%C3%BD%AC%B8%B2%C7%C1.png?type=f220_220_60_sharpen
올데이 세트,탄단지 샐러디 세트,"탄단지 샐러디 세트 + 카사바칩 + 코크제로 부드러운 닭가슴살, 고구마 무스, 견과류, 크랜베리가 들어간 탄단지가 골고루 들어있는 샐러디 스테디 메뉴 (추천 드레싱: 오리엔탈) /닭가슴살, 스윗포테이토, 견과류, 크랜베리, 채소믹스 + 카사바칩 + 코크제로",11100,https://naverbooking-phinf.pstatic.net/20260727_3/17851104343425J6EG_PNG/image.png?type=f220_220_60_sharpen
올데이 세트,치킨 콥 샐러디 세트,"치킨 콥 샐러디 + 카사바칩 + 코크제로
부드러운 시즈닝 닭가슴살, 옥수수, 올리브, 토마토, 슈레드치즈 등 다채로운 토핑에 산뜻한 저당 랜치 드레싱을 더한 샐러디만의 콥 샐러드 (추천 드레싱: (저당) 랜치)  *추천 드레싱을 일반 드레싱으로 변경 시 저당 X",11700,https://naverbooking-phinf.pstatic.net/20260727_279/17851104465000QlKX_PNG/image.png?type=f220_220_60_sharpen
올데이 세트,로스트닭다리살 샐러디 세트,"로스트닭다리살 샐러디 + 카사바칩 + 코크제로 촉촉하고 쫄깃한 닭다리살과 단호박 무스, 할라피뇨, 옥수수 등 다양한 토핑이 어우러진 샐러디 베스트 메뉴 (추천 드레싱: 크리미할라피뇨)",12400,https://naverbooking-phinf.pstatic.net/20260212_110/1770859894838bzK9M_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%BB%F8%B7%AF%B5%F0_%B7%CE%B4%DF%BB%F8.png?type=f220_220_60_sharpen
올데이 세트,그라브락스 연어 샐러디 세트,"그라브락스 연어 샐러디 + 카사바칩 + 코크제로 북유럽 전통 방식으로 숙성시켜 풍미와 쫄깃함이 가득한 그라브락스 연어와 계란, 양파 등 토핑이 어우러져 신선한 풍미가 살아있는 샐러디 인기 메뉴 (추천 드레싱: (저당) 레몬허브)  *추천 드레싱을 일반 드레싱으로 변경 시 저당 X",14400,https://naverbooking-phinf.pstatic.net/20260727_225/17851104692660eCGE_PNG/image.png?type=f220_220_60_sharpen
올데이 세트,타코 쉬림프 샐러디 세트,"타코 쉬림프 샐러디 + 카사바칩 + 코크제로 신선한 채소에 맛있게 매콤한 탱글탱글 케이준 쉬림프, 고소한 그라운드 비프, 바삭한 나쵸칩, 상큼한 사워크림을 더해 타코 스타일로 즐기는 샐러디 (추천 드레싱: 크리미칠리)",13400,https://naverbooking-phinf.pstatic.net/20260204_154/1770187245070gfV8a_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%BB%F8%B7%AF%B5%F0_%C5%B8%C4%DA%C4%FB%B8%B2%C7%C1.png?type=f220_220_60_sharpen
올데이 세트,단호박 노릇두부 샐러디 세트,단호박 노릇두부 샐러디 + 카사바칩 + 코크제로 노릇하게 익혀 고소한 두부와 달콤한 단호박이 조화롭게 어우러진 비건 탄단지 메뉴 (추천 드레싱: (저당) 발사믹)  *추천 드레싱을 일반 드레싱으로 변경 시 저당 X,11700,https://naverbooking-phinf.pstatic.net/20260204_261/1770190860987UCBxB_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%BB%F8%B7%AF%B5%F0_%B3%EB%B8%A9%B5%CE%BA%CE.png?type=f220_220_60_sharpen
올데이 세트,우삼겹메밀 누들볼 세트,"우삼겹메밀 누들볼 + 카사바칩 + 코크제로
감칠맛 있는 간장소스로 양념한 우삼겹과 고소한 메밀면 조합으로 한 층 더 풍부한 맛을 즐길 수 있는 샐러디 인기 메뉴 (추천 드레싱: 오리엔탈)",11800,https://naverbooking-phinf.pstatic.net/20260204_140/1770187932812duvnX_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%B4%A9%B5%E9%BA%BC_%BF%EC%BB%EF%B0%E3%B8%DE%B9%D0%B8%E9.png?type=f220_220_60_sharpen
올데이 세트,소고기 비빔메밀 누들볼 세트,소고기 비빔메밀 누들볼 + 카사바칩 + 코크제로 그라운드비프와 매콤달콤한 고추장비빔 드레싱에 참기름이 어우러진 비빔국수st의 비빔메밀 누들 샐러드 (추천 드레싱: 고추장비빔),10700,https://naverbooking-phinf.pstatic.net/20260727_168/17851105151211A95e_PNG/image.png?type=f220_220_60_sharpen
올데이 세트,그라브락스 연어 파스타 누들볼 세트,"그라브락스 연어 파스타 누들볼 + 카사바칩 + 코크제로
북유럽 전통 방식으로 숙성시켜 풍미와 쫄깃함이 가득한 그라브락스 연어에 향긋한 바질파스타를 곁들인 지중해풍 파스타 샐러드 (추천 드레싱: (저당) 발사믹) / 그라브락스 연어, 바질파스타, 옥수수, 올리브, 양파, 채소믹스",14400,https://naverbooking-phinf.pstatic.net/20260727_120/1785110535091stOWR_PNG/image.png?type=f220_220_60_sharpen
올데이 세트,칠리베이컨 포케볼 세트,"칠리베이컨 포케볼 + 카사바칩 + 코크제로
베이컨, 계란, 옥수수의 고소함과  크리미칠리 소스의 매콤달콤맛의 조화가 통곡물, 적채, 후리가케 등 포케 토핑과 만나 더욱 풍성해진 샐러디 No.1 메뉴(추천 드레싱: 크리미칠리)",11400,https://naverbooking-phinf.pstatic.net/20260204_121/1770188151655c8nTf_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%C6%F7%C4%C9%BA%BC_%C4%A5%B8%AE%BA%A3%C0%CC%C4%C1.png?type=f220_220_60_sharpen
올데이 세트,우삼겹 포케볼 세트,"우삼겹 포케볼 + 카사바칩 + 코크제로
감칠맛 가득한 간장 소스로 양념한 우삼겹에 쫄깃한 머쉬룸과 통곡물, 적채, 후리가케 등 포케 토핑을 더해 더욱 풍성해진 메뉴(추천 드레싱: 오리엔탈)",11900,https://naverbooking-phinf.pstatic.net/20260204_181/1770188300183DLi58_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%C6%F7%C4%C9%BA%BC_%BF%EC%BB%EF%B0%E3.png?type=f220_220_60_sharpen
