카테고리,메뉴,설명,가격,이미지 링크
샐러디,치킨 콥 샐러디,"부드러운 시즈닝 닭가슴살, 옥수수, 올리브, 토마토, 슈레드치즈 등 다채로운 토핑에 산뜻한 저당 랜치 드레싱을 더한 샐러디만의 콥 샐러드 (추천 드레싱: (저당) 랜치) *추천 드레싱을 일반 드레싱으로 변경 시 저당 X / 시즈닝 닭가슴살, 에그, 옥수수, 올리브, 토마토, 슈레드치즈, 채소믹스",9200,https://naverbooking-phinf.pstatic.net/20260727_18/17851099548563HdW2_PNG/image.png?type=f220_220_60_sharpen
샐러디,그라브락스 연어 샐러디,"북유럽 전통 방식으로 숙성시켜 풍미와 쫄깃함이 가득한 그라브락스 연어와 계란, 양파 등 토핑이 어우러져 신선한 풍미가 살아있는 샐러디 인기 메뉴 (추천 드레싱: (저당) 레몬허브) *추천 드레싱을 일반 드레싱으로 변경 시 저당 X / 그라브락스 연어, 에그, 양파, 당근라페, 엑스트라버진 올리브오일, 채소믹스",11900,https://naverbooking-phinf.pstatic.net/20260727_58/1785110014113JlkAQ_PNG/image.png?type=f220_220_60_sharpen
샐러디,로스트닭다리살 샐러디,"촉촉하고 쫄깃한 닭다리살과 단호박 무스, 할라피뇨, 옥수수 등 다양한 토핑이 어우러진 샐러디 베스트 메뉴 (추천 드레싱: 크리미할라피뇨) / 로스트닭다리살, 단호박, 양파, 옥수수, 할라피뇨, 토마토, 양파플레이크, 채소믹스",9900,https://naverbooking-phinf.pstatic.net/20260211_72/1770812847980UaR4F_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%BB%F8%B7%AF%B5%F0_%B7%CE%BD%BA%C6%AE%B4%DF%B4%D9%B8%AE%BB%EC_%B5%FC%C1%F6.png?type=f220_220_60_sharpen
샐러디,타코 쉬림프 샐러디,"신선한 채소에 맛있게 매콤한 탱글탱글 케이준 쉬림프, 고소한 그라운드 비프, 바삭한 나쵸칩, 상큼한 사워크림을 더해 타코 스타일로 즐기는 샐러디 (추천 드레싱: 크리미칠리) / 케이준 쉬림프, 할라피뇨, 옥수수, 양파, 그라운드비프, 나쵸칩, 사워크림, 채소믹스",10900,https://naverbooking-phinf.pstatic.net/20260204_251/1770191334548wGVSz_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%BB%F8%B7%AF%B5%F0_%C5%B8%C4%DA%BD%AC%B8%B2%C7%C1.png?type=f220_220_60_sharpen
샐러디,단호박 노릇두부 샐러디,"노릇하게 익혀 고소한 두부와 달콤한 단호박이 조화롭게 어우러진 비건 탄단지 메뉴 (추천 드레싱: (저당) 발사믹) / 두부, 단호박, 옥수수, 올리브, 당근라페, 적채, 채소믹스",9200,https://naverbooking-phinf.pstatic.net/20260211_190/1770813464087SUy6J_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%BB%F8%B7%AF%B5%F0_%B3%EB%B8%A9%B3%EB%B8%A9%B5%CE%BA%CE_%B5%FC%C1%F6.png?type=f220_220_60_sharpen
누들볼,소고기 비빔메밀 누들볼,"그라운드비프와 매콤달콤한 고추장비빔 드레싱에 참기름이 어우러진 비빔국수st의 비빔메밀 누들 샐러드 (추천 드레싱: 고추장비빔) / 그라운드비프, 에그, 적채, 양파, 후리가케, 당근라페, 참기름, 채소믹스, 메밀면",8200,https://naverbooking-phinf.pstatic.net/20260727_235/17851100811472I96c_PNG/image.png?type=f220_220_60_sharpen
누들볼,그라브락스 연어 파스타 누들볼,"북유럽 전통 방식으로 숙성시켜 풍미와 쫄깃함이 가득한 그라브락스 연어에 향긋한 바질파스타를 곁들인 지중해풍 파스타 샐러드 (추천 드레싱: (저당) 발사믹) / 그라브락스 연어, 옥수수, 올리브, 양파, 바질페스토, 엑스트라버진 올리브오일, 채소믹스, 파스타면",11900,https://naverbooking-phinf.pstatic.net/20260727_76/1785110151854WoX26_PNG/image.png?type=f220_220_60_sharpen
누들볼,우삼겹메밀 누들볼,감칠맛 있는 간장소스로 양념한 우삼겹과 고소한 메밀면 조합으로 한 층 더 풍부한 맛을 즐길 수 있는 샐러디 인기 메뉴 (추천 드레싱: 오리엔탈),9300,https://naverbooking-phinf.pstatic.net/20260211_136/1770813791544cyrjI_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%B4%A9%B5%E9%BA%BC_%BF%EC%BB%EF%B0%E3%B8%DE%B9%D0%B8%E9_%B5%FC%C1%F6.png?type=f220_220_60_sharpen
그레인볼,청양간장 두부 비빔밥,"노릇하게 익혀 고소한 두부와 알싸한 청양간장 드레싱에 머쉬룸, 당근라페, 적채 등의 토핑을 더한 캐쥬얼 한식풍 비빔밥(*드레싱 미제공, 포함 드레싱: 청양간장) / 두부, 머쉬룸, 양파, 적채, 당근라페, 견과류, 참기름, 청양간장 드레싱, 채소믹스, 곡물밥 (*드레싱 미제공)",9200,https://naverbooking-phinf.pstatic.net/20260727_155/1785110208195KD5UC_PNG/image.png?type=f220_220_60_sharpen
그레인볼,그라브락스 연어 포케볼,"북유럽 전통 방식으로 숙성시켜 깊은 풍미와 쫄깃함이 가득한 그라브락스 연어와 통곡물, 적채, 후리가케 등 포케 토핑이 어우러져 더욱 풍성하게 완성한 샐러디 대표 포케 메뉴 (추천 드레싱: (저당) 참깨소이) / 그라브락스 연어, 양파플레이크, 양파, 적채, 후리가케, 옥수수, 올리브, 채소믹스, 곡물밥, 엑스트라 버진 오일",11400,https://naverbooking-phinf.pstatic.net/20260727_257/17851102285535LQLu_PNG/image.png?type=f220_220_60_sharpen
그레인볼,칠리베이컨 포케볼,"베이컨, 계란, 옥수수의 고소함과  크리미칠리 소스의 매콤달콤맛의 조화가 통곡물, 적채, 후리가케 등 포케 토핑과 만나 더욱 풍성해진 샐러디 No.1 메뉴(추천 드레싱: 크리미칠리) / 칩베이컨, 에그, 옥수수, 양파플레이크, 양파, 적채, 후리가케, 채소믹스, 곡물밥",8900,https://naverbooking-phinf.pstatic.net/20260211_151/1770814337837OVvzI_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%C6%F7%C4%C9%BA%BC_%C4%A5%B8%AE%BA%A3%C0%CC%C4%C1_%B5%FC%C1%F6.png?type=f220_220_60_sharpen
그레인볼,바베큐닭다리살 포케볼,"촉촉하고 쫄깃한 닭다리살에 고소한 계란과 매콤달콤한 바베큐소스를 곁들인 중독성 강한 조합! 통곡물, 적채, 후리가케 등 포케 토핑으로 풍성한 맛을 더한 치밥 스타일의 메뉴(추천 드레싱 : (저당) 스리라차소이) / 로스트닭다리살, 에그, 옥수수, 양파, 양파플레이크, 후리가케, 적채, 바베큐소스, 채소믹스, 곡물밥",9900,https://naverbooking-phinf.pstatic.net/20260211_196/1770815462076q69zE_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%C6%F7%C4%C9%BA%BC_%B9%D9%BA%A3%C5%A5%B4%DF%B4%D9%B8%AE%BB%EC.png?type=f220_220_60_sharpen
그레인볼,우삼겹 포케볼,"감칠맛 가득한 간장 소스로 양념한 우삼겹에 쫄깃한 머쉬룸과 통곡물, 적채, 후리가케 등 포케 토핑을 더해 더욱 풍성해진 메뉴(추천 드레싱: 오리엔탈) / 우삼겹, 머쉬룸, 양파, 적채, 후리가케, 양파플레이크, 옥수수, 채소믹스, 곡물밥",9400,https://naverbooking-phinf.pstatic.net/20260211_176/1770815087451PKnK6_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%C6%F7%C4%C9%BA%BC_%BF%EC%BB%EF%B0%E3.png?type=f220_220_60_sharpen
프로틴 박스,닭다리살 MAX 프로틴 박스,3배 더 풍성하게 올린 촉촉하고 쫄깃한 닭다리살에 1.5배 든든한 곡물밥과 매콤한 저당 스리라차소이 드레싱을 페어링하여 제대로 설계한 샐러디의 MAX 프로틴 도시락 (추천 드레싱 : (저당) 스리라차소이) *추천 드레싱을 일반 드레싱으로 변경 시 저당 X,12900,https://naverbooking-phinf.pstatic.net/20260205_140/177027003255570H3Q_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%C7%C1%B7%CE%C6%BE%B9%DA%BD%BA_%B4%DF%B4%D9%B8%AE%BB%ECMAX_%B5%FC%C1%F6.png?type=f220_220_60_sharpen
프로틴 박스,치킨 MAX 프로틴 파스타,"3배 가득 풍성하게 올린 부드러운 시즈닝 닭가슴살에 2배 든든한 바질파스타와 상큼한 저당 레몬 드레싱을 페어링하여 제대로 설계한 샐러디의 MAX 프로틴 도시락 (추천 드레싱: (저당) 레몬허브) *추천 드레싱을 일반 드레싱으로 변경 시 저당 X / 시즈닝 닭가슴살x3, 칩베이컨, 당근라페, 양파, 옥수수, 채소믹스, 바질파스타x2",12900,https://naverbooking-phinf.pstatic.net/20260727_175/1785110265804zfWYI_PNG/image.png?type=f220_220_60_sharpen
프로틴 박스,우삼겹 MAX 프로틴 박스,"3배 가득 풍성하게 올린 단짠 우삼겹에 1.5배 든든한 곡물밥과 고소한 저당 참깨소이 드레싱을 페어링하여 제대로 설계한 샐러디의 MAX 프로틴 도시락(추천 드레싱: (저당) 참깨소이) / 우삼겹x3, 당근라페, 양파, 옥수수, 채소믹스, 곡물밥x1.5",12900,https://naverbooking-phinf.pstatic.net/20260205_224/1770269802553h21NM_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%C7%C1%B7%CE%C6%BE%B9%DA%BD%BA_%BF%EC%BB%EF%B0%E3MAX_%B5%FC%C1%F6.png?type=f220_220_60_sharpen
랩,바질크림 잠봉 랩,"또띠아 속 풍미 가득한 바질크림에 담백한 잠봉과 양파, 당근라페 토핑이 어우러진 프로틴 랩 샌드위치 (포함 드레싱: 바질페스토) 잠봉, 당근라페, 양파, 적채, 화이트치즈, 채소믹스",7900,https://naverbooking-phinf.pstatic.net/20260727_110/17851102958111zCmC_PNG/image.png?type=f220_220_60_sharpen
랩,에그마요 랩,"또띠아 속 고소하고 부드러운 에그마요와 톡톡 터지는 옥수수, 바삭한 나쵸가 토핑된 스낵 스타일의 랩 샌드위치 (포함 드레싱: 크리미할라피뇨/ 에그마요, 옥수수, 칩베이컨, 나쵸칩 (*채소믹스 미포함) (*채소믹스 미포함)",5500,https://naverbooking-phinf.pstatic.net/20260211_270/1770816305435OHCCI_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%B7%A6_%BF%A1%B1%D7%B8%B6%BF%E4.png?type=f220_220_60_sharpen
랩,멕시칸 랩,"또띠아 속 매콤달콤한 크리미칠리 드레싱과 그라운드비프, 나쵸 토핑이 어우러진 샐러디 스테디 랩 샌드위치 (포함 드레싱: 크리미칠리) / 그라운드비프, 나쵸칩, 사워크림, 채소믹스",7200,https://naverbooking-phinf.pstatic.net/20260211_37/1770816625335zIc6Q_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%B7%A6_%B8%DF%BD%C3%C4%AD%B7%A6_%B5%FC%C1%F6.png?type=f220_220_60_sharpen
랩,시저치킨 랩,"또띠아 속 부드러운 시즈닝 닭가슴살과 상큼한 크랜베리, 치즈풍미의 시저드레싱이 어우러진 랩 샌드위치 (포함 드레싱: 시저) / 시즈닝 닭가슴살, 크랜베리, 채소믹스",7200,https://naverbooking-phinf.pstatic.net/20260211_298/17708168274947OqLo_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%B7%A6_%BD%C3%C0%FA%C4%A1%C5%B2.png?type=f220_220_60_sharpen
랩,바질치킨 랩,"또띠아 속 향긋한 바질페스토와 부드러운 시즈닝 닭가슴살이 어우러진 랩 샌드위치 (포함 드레싱: 시저) (포함 드레싱: 시저) / 시즈닝 닭가슴살, 바질페스토, 크랜베리, 채소믹스",7900,https://naverbooking-phinf.pstatic.net/20260205_277/1770269394207QVad1_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%B7%A6_%B9%D9%C1%FA%C4%A1%C5%B2.png?type=f220_220_60_sharpen
랩,타코 쉬림프 랩,"또띠아 속 맛있게 매콤한 탱글탱글 케이준 쉬림프와 바삭한 나쵸칩, 상큼한 사워크림, 신선한 채소를 가득 담아 타코 스타일로 간편하게 즐기는 랩 샌드위치 (포함 드레싱: 허니머스타드) / 케이준 쉬림프, 양파, 할라피뇨, 토마토, 나쵸칩, 사워크림, 채소믹스",9200,https://naverbooking-phinf.pstatic.net/20260205_117/1770269663615Of8Jn_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%B7%A6_%C5%B8%C4%DA%BD%AC%B8%B2%C7%C1_%B5%FC%C1%F6.png?type=f220_220_60_sharpen
랩,그라브락스 연어 랩,"북유럽 전통 방식으로 숙성시켜 풍미와 쫄깃함이 가득한 그라브락스 연어와 양파 등 토핑과 산뜻한 크리미할라피뇨 드레싱이 어우러진 랩 샌드위치 (포함 드레싱: 크리미할라피뇨) / 그라브락스 연어, 양파, 토마토, 채소믹스",9200,https://naverbooking-phinf.pstatic.net/20260205_177/1770269637288isVwS_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%B7%A6_%B1%D7%B6%F3%BA%EA%B6%F4%BD%BA%BF%AC%BE%EE.png?type=f220_220_60_sharpen
랩,로스트닭다리살 랩,"또띠아 속 촉촉하고 쫄깃한 닭다리살과 토마토, 할라피뇨, 사워크림 토핑이 어우러져 치킨 케밥 스타일 완성된 중독성 강한 랩 샌드위치 (포함 드레싱: 크리미할라피뇨) / 로스트닭다리살, 양파, 할라피뇨, 토마토, 사워크림, 채소믹스",8900,https://naverbooking-phinf.pstatic.net/20260211_7/1770817068221N6Hab_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%B7%A6_%B7%CE%BD%BA%C6%AE%B4%DF%B4%D9%B8%AE%BB%EC.png?type=f220_220_60_sharpen
곡물랩,칠리베이컨 곡물랩,"또띠아 속 베이컨, 에그, 옥수수의 고소하고 톡톡 터지는 식감과 매콤달콤한 소스 조합이 입맛을 돋우고, 통곡물이 만나 더욱 든든하게 즐기는 랩 샌드위치 (포함 드레싱: 크리미칠리) / 에그, 베이컨, 옥수수, 양파플레이크, 채소믹스, 곡물밥",7400,https://naverbooking-phinf.pstatic.net/20260211_218/1770818159036nuM7v_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%B7%A6_%C4%A5%B8%AE%BA%A3%C0%CC%C4%C1_%B5%FC%C1%F6.png?type=f220_220_60_sharpen
곡물랩,고소우삼겹 곡물랩,"또띠아 속 감칠맛과 풍미 가득한 저당 들기름소이 소스로 양념한 우삼겹과 견과류로 한 층 더 고소함을 살리고, 통곡물이 만나 더욱 든든하게 즐기는 랩 샌드위치 (포함 드레싱: (저당) 들기름소이) / 우삼겹, 양파, 견과류, 적채, 채소믹스, 곡물밥",8400,https://naverbooking-phinf.pstatic.net/20260211_71/177081840272258DhS_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%B7%A6_%B0%ED%BC%D2%BF%EC%BB%EF%B0%E3%B0%EE%B9%B0%B7%A6_%B5%FC%C1%F6.png?type=f220_220_60_sharpen
곡물랩,바베큐닭다리살 곡물랩,"또띠아 속 촉촉하고 쫄깃한 닭다리살, 매콤달콤 바베큐소스로 중독성 강한 조합에, 통곡물이 만나 더욱 든든하게 즐기는 랩 샌드위치(포함 드레싱: 크리미할라피뇨) / 로스트닭다리살, 적채, 옥수수, 슈레드치즈, 토마토, 바베큐소스, 채소믹스, 곡물밥",8400,https://naverbooking-phinf.pstatic.net/20260211_12/1770818523780Q4i03_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%B7%A6_%B9%D9%BA%A3%C5%A5%B4%DF%B4%D9%B8%AE%BB%EC.png?type=f220_220_60_sharpen
마이 샐러디,채소볼,다양한 채소가 들어간 샐러디 베이스 (비건 메뉴),4500,https://naverbooking-phinf.pstatic.net/20250822_219/1755826431446radGu_PNG/%BA%A3%C0%CC%BD%BA-%C3%A4%BC%D2%BA%BC.png?type=f220_220_60_sharpen
마이 샐러디,포케볼,곡물밥에 다양한 채소와 후리가케를 더한 포케 베이스,4500,https://naverbooking-phinf.pstatic.net/20250212_26/17393463298571KcGf_PNG/%C6%F7%C4%C9%BA%BC_%B4%A9%B3%A2.png?type=f220_220_60_sharpen
마이 샐러디,메밀면볼,부드럽고 고소한 메밀면 베이스,5000,https://naverbooking-phinf.pstatic.net/20250212_118/1739346339691VqAac_PNG/%B8%DE%B9%D0%B8%E9%BA%BC_%B4%A9%B3%A2.png?type=f220_220_60_sharpen
마이 샐러디,파스타볼,듀럼밀로 단백질 함량이 높은 파스타 베이스,5000,https://naverbooking-phinf.pstatic.net/20260212_249/1770873963100iUNDU_PNG/%BA%A3%C0%CC%BD%BA-%B4%A9%B5%E9%BA%BC.png?type=f220_220_60_sharpen
사이드,양송이 크림스프,양송이의 풍미가 살아있는 고소하고 담백한 스프 (*세트 가격으로 구매를 원할 시 메인 메뉴 옵션에서 선택해주세요),4500,https://naverbooking-phinf.pstatic.net/20220218_261/1645169219731T8uQL_PNG/%BE%E7%BC%DB%C0%CC_%C5%A9%B8%B2%BD%BA%C7%C1.png?type=f220_220_60_sharpen
사이드,단호박 크림스프,달콤한 단호박과 크리미하고 진한 크림이 만나 달콤하고 부드러운 스프,4900,https://naverbooking-phinf.pstatic.net/20231101_232/1698797882757ejexf_PNG/%B4%DC%C8%A3%B9%DA%C5%A9%B8%B2%BD%BA%C7%C1_230914.png?type=f220_220_60_sharpen
사이드,치킨토마토 스튜,큐브 형태의 닭가슴살과 각종 야채가 들어있는 가볍지만 든든한 토마토 스튜,4900,https://naverbooking-phinf.pstatic.net/20240206_29/17071779377427rYsv_PNG/%C4%A1%C5%B2%C5%E4%B8%B6%C5%E4%BD%BA%C6%A9_240118.png?type=f220_220_60_sharpen
사이드,포테이토 크림스프,큐브 형태의 감자에 닭육수와 부드러운 크림을 더한 고소한 풍미의 스프,4500,https://naverbooking-phinf.pstatic.net/20250212_170/1739346365492MhGun_PNG/%C6%F7%C5%D7%C0%CC%C5%E4%C5%A9%B8%B2%BD%BA%C7%C1_%B4%A9%B3%A2.png?type=f220_220_60_sharpen
사이드,카사바칩,식이섬유가 풍부하고 GI 지수가 낮아 혈당 부담없이 가벼운 카사바칩,1900,https://naverbooking-phinf.pstatic.net/20260511_153/1778490284780neIs8_PNG/image.png?type=f220_220_60_sharpen
음료,[고창] 리얼 수박 주스,전북 고창의 제철 수박을 원물 그대로 착즙한  리얼 수박 주스로 더 건강하게 즐기는 샐러디의 여름 한정 시즌 음료 메뉴 (~8/31),4500,https://naverbooking-phinf.pstatic.net/20260616_95/1781574117233glSXl_PNG/image.png?type=f220_220_60_sharpen
음료,아메리카노 (HOT),바디감과 밸런스가 좋은 커피,2700,https://ldb-phinf.pstatic.net/20220218_284/1645169353812C0HyS_JPEG/%C7%D6-%BE%C6%B8%DE%B8%AE%C4%AB%B3%EB.jpg?type=f220_220_60_sharpen
음료,아메리카노 (ICE),바디감과 밸런스가 좋은 커피,2700,https://naverbooking-phinf.pstatic.net/20230209_70/16759240041608GQ3z_PNG/%C0%BD%B7%E1_%BE%C6%C0%CC%BD%BA%BE%C6%B8%DE%B8%AE%C4%AB%B3%EB_%C1%A4%B9%E6%C7%E2.png?type=f220_220_60_sharpen
음료,코크제로 355ml,설탕이 들어가지 않은 0kcal 탄산수,2400,https://naverbooking-phinf.pstatic.net/20230209_226/1675924020650XfA2n_PNG/%C4%DA%C5%A9%C1%A6%B7%CE_%C1%A4%B9%E6%C7%E2.png?type=f220_220_60_sharpen
음료,스프라이트제로 355ml,설탕이 들어가지 않은 0kcal 탄산음료,2400,https://naverbooking-phinf.pstatic.net/20230209_259/1675924031699HXHcT_PNG/%BD%BA%C7%C1%B6%F3%C0%CC%C6%AE%C1%A6%B7%CE_%C1%A4%B9%E6%C7%E2.png?type=f220_220_60_sharpen
음료,착즙 주스(그린밀싹),"케일, 밀싹, 사과, 레몬, 파인애플이 들어간 착즙 주스 (*얼음컵에 담겨 제공됩니다.)",4500,https://naverbooking-phinf.pstatic.net/20230209_215/1675924073717W2uRJ_PNG/%B1%D7%B8%B0%B9%D0%BD%CF_%C1%A4%B9%E6%C7%E2.png?type=f220_220_60_sharpen
음료,착즙 주스(오렌지당근),"당근, 오렌지, 사과, 유자가 들어간 달콤한 착즙 주스 (*얼음컵에 담겨 제공됩니다.)",4500,https://naverbooking-phinf.pstatic.net/20230209_282/1675924095601wKk71_PNG/%BF%C0%B7%BB%C1%F6%B4%E7%B1%D9_%C1%A4%B9%E6%C7%E2.png?type=f220_220_60_sharpen
음료,착즙 주스(레드클렌즈),"비트, 사과, 당근, 파인애플, 레몬이 들어간 상큼한 착즙 주스 (*얼음컵에 담겨 제공됩니다.)",4500,https://naverbooking-phinf.pstatic.net/20230802_274/1690933962166mEIrd_PNG/%B7%B9%B5%E5%C5%AC%B7%BB%C1%EE_%BE%F3%C0%BD.png?type=f220_220_60_sharpen
음료,생수 330ml,,500,https://naverbooking-phinf.pstatic.net/20240806_105/1722904895600jFQhJ_PNG/%BB%FD%BC%F6_240322.png?type=f220_220_60_sharpen
음료,애사비 사과 스파클링,"제로 슈거로 가볍고, 상큼한 애사비 스파클링",2600,https://naverbooking-phinf.pstatic.net/20260206_166/1770357291093t7wmP_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%BE%D6%BB%E7%BA%F1_%BB%E7%B0%FA_%BD%BA%C6%C4%C5%AC%B8%B5.png?type=f220_220_60_sharpen
