적용범위,구분,메뉴명,달걀,우유,메밀,땅콩,대두,밀,잣,호두,게,새우,오징어,고등어,"조개류 (굴, 전복, 홍합포함)",복숭아,토마토,닭고기,돼지 고기,소고기,아황산류 (10mg/kg 이상함유)
SALADY,PROTEIN,두부,,,,,●,,,,,,,,,,,,,,
SALADY,PROTEIN,잠봉슬라이스,,,,,,,,,,,,,,,,,●,,
SALADY,PROTEIN,스크램블에그,●,●,,,●,,,,,,,,●,,,,,,
SALADY,VEGGIES,머쉬룸,,,,,●,,,,,,,,,,,,,,
SALADY,VEGGIES,토마토,,,,,,,,,,,,,,,●,,,,
SALADY,VEGGIES,당근라페,,,,,●,,,,,,,,,,,,,,
SALADY,CRISPY,후리가케,,,,,●,●,,,,,,,,,,,,,
SALADY,CRISPY,견과류,,,,,,,,●,,,,,,,,,,,
SALADY,CRISPY,나쵸칩,,,,,●,,,,,,,,,,,,,,
SALADY,CRISPY,양파플레이크,,,,,,●,,,,,,,,,,,,,
SALADY,CRISPY,슈레드치즈,,●,,,,,,,,,,,,,,,,,
SALADY,CRISPY,김자반,,,,,●,,,,,,,,,,,,,,
SALADY,SAUCE & MOUSSE,에그마요,●,,,,●,,,,,,,,●,,,,,,
SALADY,SAUCE & MOUSSE,스윗포테이토,●,,,,●,●,,,,,,●,,,,,,,
SALADY,SAUCE & MOUSSE,사워크림,,●,,,,,,,,,,,,,,,,●,
SALADY,SAUCE & MOUSSE,바질페스토,,●,,,,,,,,,,,,,,,,,
SALADY,SAUCE & MOUSSE,바베큐소스,,,,,●,●,,,,,,,,,,●,,●,
SALADY,SAUCE & MOUSSE,화이트치즈소스,●,●,,,●,,,,,,,,,,,,,,
SALADY & SANDWICH,BASE,포케볼,,,,,●,●,,,,,,,,,,,,,
SALADY & SANDWICH,BASE,메밀면볼,●,,●,,●,●,,,,,,,,,,,,,
SALADY & SANDWICH,BASE,파스타볼,,●,,,●,●,,,,,,,,,,,,,
SALADY & SANDWICH,SALADY,탄단지샐러디,●,,,,●,●,,●,,,,●,,,,●,,,
SALADY & SANDWICH,SALADY,랜치콥샐러디,●,,,,,,,,,,,,,,●,●,●,,
