적용범위,구분,메뉴명,제공량(g),열량(Kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),나트륨(mg)
SALADY,DRESSING,고추장비빔,30,80.0,17.0,14.0,1.0,1.0,0.5,480.0
SALADY,DRESSING,크리미칠리,50,235.0,14.0,11.0,0.0,20.0,3.2,410.0
SALADY,DRESSING,크리미할라피뇨,50,235.0,7.0,7.0,1.0,23.0,3.6,320.0
SALADY,DRESSING,(저당) 레몬허브,50,4.1,8.4,0.5,0.2,0.1,0.1,360.0
SALADY,DRESSING,(저당) 참깨소이,50,110.0,6.0,0.1,1.0,11.0,1.8,410.0
SALADY,DRESSING,(저당) 스리라차소이,50,58.2,13.6,2.1,0.8,0.0,0.0,562.5
SALADY,DRINK,아메리카노,290,22.5,2.4,0.0,1.8,0.5,0.0,24.3
SALADY,DRINK,그린밀싹,240,120.0,28.0,22.0,1.0,0.0,0.0,39.0
SALADY,DRINK,오렌지당근,240,113.0,27.0,23.0,1.0,0.0,0.0,43.0
SALADY,DRINK,레드클렌즈,240,120.0,29.0,24.0,1.2,0.0,0.0,43.0
SALADY,DRINK,코크제로,355,0.0,0.0,0.0,0.0,0.0,0.0,22.0
SALADY,DRINK,스프라이트제로,355,0.0,0.0,0.0,0.0,0.0,0.0,11.0
SALADY,DRINK,애사비사과스파클링,350,8.0,9.0,0.0,0.0,0.0,0.0,25.0
SALADY,PROTEIN,닭가슴살,50,64.3,2.0,0.0,13.1,0.4,0.4,118.8
SALADY,PROTEIN,그라브락스연어,60,99.1,1.4,0.4,12.8,4.7,0.5,346.6
SALADY,PROTEIN,로스트닭다리살,60,113.8,6.0,1.3,10.5,5.3,2.1,272.5
SALADY,PROTEIN,그라운드비프,40,108.0,0.0,0.0,10.2,7.2,2.9,38.4
SALADY,PROTEIN,우삼겹,50,161.1,3.0,2.5,9.3,12.4,5.1,165.6
SALADY,PROTEIN,베이컨,20,66.3,0.7,0.4,3.0,5.7,2.1,105.6
SALADY,PROTEIN,로스트삼겹,50,187.4,3.2,0.4,9.0,15.4,4.8,116.2
SALADY,PROTEIN,에그,50,72.5,0.7,0.1,6.7,4.3,1.4,64.0
